,BRAND,ORDERED_DATE,CITY,AREA_NAME,STORE_ID,L1_CATEGORY,L2_CATEGORY,L3_CATEGORY,PRODUCT_NAME,VARIANT,ITEM_CODE,COMBO,COMBO_ITEM_CODE,COMBO_UNITS_SOLD,BASE_MRP,UNITS_SOLD,GMV
2854,nanihaal,9/2/25,Gurgaon,imt manesar,1387568,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
2855,nanihaal,9/2/25,Kolkata,south kolkata,1169284,"masala, pickle and papad",whole spices,methi seeds,nanihaal sabut methi dana,100 g,629844,No,,,40,1,40
2856,nanihaal,9/2/25,Noida 1,indirapuram,1401267,"masala, pickle and papad",whole spices,elaichi,nanihaal hari elaichi,20 g,451167,No,,,210,1,210
2857,nanihaal,9/2/25,Noida,shalimar garden,1399806,"masala, pickle and papad",whole spices,elaichi,nanihaal hari elaichi,20 g,451167,No,,,210,1,210
2858,nanihaal,9/2/25,Kolkata,behala,1400223,"masala, pickle and papad",whole spices,cinnamon,nanihaal dal cheeni,50 g,573571,No,,,75,1,75
2859,nanihaal,9/2/25,Delhi,kakrola,1384143,"masala, pickle and papad",whole spices,jeera,nanihaal jeera,200 g,655718,No,,,170,1,170
2860,nanihaal,9/2/25,Delhi,old delhi,1386719,"masala, pickle and papad",whole spices,sesame,nanihaal safed til,100 g,171845,No,,,57,1,57
2861,nanihaal,9/2/25,Jaipur,vaishali nagar,1382166,"masala, pickle and papad",powdered spices,black pepper,nanihaal black pepper ( whole),100 g,752565,No,,,240,1,240
2862,nanihaal,9/2/25,Noida,crossing republic,1402462,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
2863,nanihaal,9/2/25,Delhi,dwarka 2,1401649,"masala, pickle and papad",whole spices,sesame,nanihaal safed til,100 g,171845,No,,,57,1,57
2864,nanihaal,9/2/25,Kolkata,thakurpukur,1402805,"masala, pickle and papad",whole spices,sesame,nanihaal safed til,100 g,171845,No,,,57,2,114
2865,nanihaal,9/2/25,Delhi,janakpuri,1099457,"masala, pickle and papad",whole spices,saunf,nanihaal moti saunf,100 g,129595,No,,,105,1,105
2866,nanihaal,9/2/25,Kolkata,alipore,1135719,"masala, pickle and papad",whole spices,mustard seeds,nanihaal kaali sarson,100 g,329709,No,,,30,2,60
2867,nanihaal,9/2/25,Kolkata,rajarhat,1403839,"masala, pickle and papad",whole spices,sesame,nanihaal safed til,100 g,171845,No,,,57,1,57
2868,nanihaal,9/2/25,Gurgaon,new sohna road,1402056,"masala, pickle and papad",whole spices,ajwain,nanihaal ajwain,100 g,903650,No,,,70,1,70
